Price Date,MIC,Ticker,ISIN,Currency,Close Price,Traded Volume,Issued Shares,Traded Value,Market Capitalization,,,,,,
16/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7300,"11,695","713,779,135"," 20,232.35 "," 1,234,837,903.55 ",,,,,,
17/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7550,"10,179","713,779,135"," 17,864.15 "," 1,252,682,381.93 ",,,,,,
20/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7450,"57,456","713,779,135"," 100,260.72 "," 1,245,544,590.58 ",,,,,,
21/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7450,"2,207","713,779,135"," 3,851.22 "," 1,245,544,590.58 ",,,,,,
22/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7100,"5,105","713,779,135"," 8,729.55 "," 1,220,562,320.85 ",,,,,,
23/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7400,"2,373","713,779,135"," 4,129.02 "," 1,241,975,694.90 ",,,,,,
24/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7400,"7,006","713,779,135"," 12,190.44 "," 1,241,975,694.90 ",,,,,,
27/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7250,"4,096","713,779,135"," 7,065.60 "," 1,231,269,007.88 ",,,,,,
28/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7000,"21,682","713,779,135"," 36,859.40 "," 1,213,424,529.50 ",,,,,,
29/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.7050,"5,718","713,779,135"," 9,749.19 "," 1,216,993,425.18 ",,,,,,
30/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.6900,"18,371","713,779,135"," 31,046.99 "," 1,206,286,738.15 ",,,,,,
31/03/2023,XBSE,ALR,ROALROACNOR0,RON,1.6950,"4,328","713,779,135"," 7,335.96 "," 1,209,855,633.83 ",,,,,,
03/04/2023,XBSE,ALR,ROALROACNOR0,RON,1.7200,"20,372","713,779,135"," 35,039.84 "," 1,227,700,112.20 ",,,,,,
04/04/2023,XBSE,ALR,ROALROACNOR0,RON,1.6800,"43,922","713,779,135"," 73,788.96 "," 1,199,148,946.80 ",,,,,,
